mof,1s,2s,3s,4s,5s,6s,2p,3p,4p,5p,3d,4d,5d,4f,metal,nlinker,linker1smi,linker2smi,temperature,time,oxidation_state,solvent1,solvent2,solvent3, additive
DANROC_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,2,O=C(O)CC(CC(=O)O)CC(=O)O,c1ccc(-c2ccccn2)nc1,25,168,2,6228,962,0000,8471
DARBUU_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,C#N,C#N,120,72,1,8028,0000,0000,0000
DEJCIF_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1ccncc1C(=O)O,O=C(O)c1ccncc1C(=O)O,85,12,2,6228,702,0000,0000
DITYEM_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,2,c1cc(-c2n[nH]c(-c3ccncc3)n2)ccn1,C#N,160,72,1,962,0000,0000,0000
EBATUZ_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1cc(C(=O)O)cc(C2=Cc3cc4c(cc3=C2)C=C(c2cc(C(=O)O)cc(C(=O)O)c2)C=4)c1,O=C(O)c1cc(C(=O)O)cc(C2=Cc3cc4c(cc3=C2)C=C(c2cc(C(=O)O)cc(C(=O)O)c2)C=4)c1,85,24,2,6228,0000,0000,28118
EBAVAH_auto,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1cc(C#Cc2ccc(C#Cc3cc(C(=O)O)cc(C(=O)O)c3)c3nsnc23)cc(C(=O)O)c1,O=C(O)c1cc(C#Cc2ccc(C#Cc3cc(C(=O)O)cc(C(=O)O)c3)c3nsnc23)cc(C(=O)O)c1,85,24,2,6228,0000,0000,28118
EJOQUR_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1cc(Oc2cccc(C(=O)O)c2C(=O)O)cc(C(=O)O)c1,O=C(O)c1cc(Oc2cccc(C(=O)O)c2C(=O)O)cc(C(=O)O)c1,85,16,2,6228,962,0000,0000
ENESOH_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(Cn1cnnn1)Nc1cccnc1,O=C(Cn1cnnn1)Nc1cccnc1,85,96,2,962,887,0000,0000
EPOTAF_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1ccc(OCC(COc2ccc(C(=O)O)cc2)(COc2ccc(C(=O)O)cc2)COc2ccc(C(=O)O)cc2)cc1,O=C(O)c1ccc(OCC(COc2ccc(C(=O)O)cc2)(COc2ccc(C(=O)O)cc2)COc2ccc(C(=O)O)cc2)cc1,80,24,2,6228,31275,887,313
EXOZIB_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)CCn1c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c1=O,O=C(O)CCn1c(=O)n(CCC(=O)O)c(=O)n(CCC(=O)O)c1=O,25,504,2,962,887,0000,10942334
FECXES_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1cc(OCC(COc2cc(C(=O)O)cc(C(=O)O)c2)(COc2cc(C(=O)O)cc(C(=O)O)c2)COc2cc(C(=O)O)cc(C(=O)O)c2)cc(C(=O)O)c1,O=C(O)c1cc(OCC(COc2cc(C(=O)O)cc(C(=O)O)c2)(COc2cc(C(=O)O)cc(C(=O)O)c2)COc2cc(C(=O)O)cc(C(=O)O)c2)cc(C(=O)O)c1,100,72,2,962,702,0000,944
GAWMAU_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)CN(CC(=O)O)c1nc(N(CC(=O)O)CC(=O)O)nc(N(CC(=O)O)CC(=O)O)n1,O=C(O)CN(CC(=O)O)c1nc(N(CC(=O)O)CC(=O)O)nc(N(CC(=O)O)CC(=O)O)n1,25,168,1,962,0000,0000,3301
GEWXAJ_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,2,Nn1cnnc1,O=C(O)c1cccc(C(=O)O)c1,120,72,2,962,0000,0000,14798
GIXMUX_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,2,C(=Cc1ccncc1)c1ccncc1,O=C(O)CC(O)C(=O)O,100,24,2,962,887,0000,0000
GUJREK_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,Cc1nnc(-c2ccc(-c3nnc(C)n3-c3cccc(C(=O)O)c3)s2)n1-c1cccc(C(=O)O)c1,Cc1nnc(-c2ccc(-c3nnc(C)n3-c3cccc(C(=O)O)c3)s2)n1-c1cccc(C(=O)O)c1,140,5,2,962,6342,0000,0000
HAWZEM_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1ccncc1,O=C(O)c1ccncc1,120,120,2,6228,0000,0000,0000
IDAGEA_charged,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,2,NC(Cc1ccccc1)C(=O)O,c1cc(-c2ccncc2)ccn1,25,252,2,962,702,0000,14798
JUTCIM_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1cc([N+](=O)[O-])c(-c2c([N+](=O)[O-])cc(C(=O)O)cc2[N+](=O)[O-])c([N+](=O)[O-])c1,O=C(O)c1cc([N+](=O)[O-])c(-c2c([N+](=O)[O-])cc(C(=O)O)cc2[N+](=O)[O-])c([N+](=O)[O-])c1,85,24,2,31374,702,962,174
KADLOT_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1ccc(-c2cncnc2)cc1,O=C(O)c1ccc(-c2cncnc2)cc1,85,48,2,6228,6342,0000,0000
KOMFUO_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,c1nncn1-n1cnnc1,c1nncn1-n1cnnc1,25,252,2,962,0000,0000,0000
LABJUV_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,c1cc(-c2cc(-c3ccncc3)c(-c3ccncc3)cc2-c2ccncc2)ccn1,c1cc(-c2cc(-c3ccncc3)c(-c3ccncc3)cc2-c2ccncc2)ccn1,175,72,1,6342,0000,0000,0000
LAGHIL_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1cccnc1,O=C(O)c1cccnc1,65,6,2,887,0000,0000,0000
LEVDIB_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1cc(C(=O)O)cc(-c2cc(O)c(-c3c(O)cc(-c4cc(C(=O)O)cc(C(=O)O)c4)c4cc(Cl)ccc34)c3ccc(Cl)cc23)c1,O=C(O)c1cc(C(=O)O)cc(-c2cc(O)c(-c3c(O)cc(-c4cc(C(=O)O)cc(C(=O)O)c4)c4cc(Cl)ccc34)c3ccc(Cl)cc23)c1,90,48,2,6228,702,962,313
LIKDOA_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)C1=CC2=CC(C(=O)O)C=C3C=C(C(=O)O)CC(=C1)C23,O=C(O)C1=CC2=CC(C(=O)O)C=C3C=C(C(=O)O)CC(=C1)C23,65,48,2,6228,962,0000,313
MAQBIS_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,COc1cc(C(=O)O)cc(OC)c1-c1c(OC)cc(C(=O)O)cc1OC,COc1cc(C(=O)O)cc(OC)c1-c1c(OC)cc(C(=O)O)cc1OC,70,24,2,6228,962,0000,0000
MEHMET_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1cc(C#CC#Cc2cc(C#CC#Cc3cc(C(=O)O)cc(C(=O)O)c3)cc(C#CC#Cc3cc(C(=O)O)cc(C(=O)O)c3)c2)cc(C(=O)O)c1,O=C(O)c1cc(C#CC#Cc2cc(C#CC#Cc3cc(C(=O)O)cc(C(=O)O)c3)cc(C#CC#Cc3cc(C(=O)O)cc(C(=O)O)c3)c2)cc(C(=O)O)c1,80,48,2,6228,702,0000,313
MUNDAC_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1cncc(C(=O)O)c1,O=C(O)c1cncc(C(=O)O)c1,85,48,1,6228,0000,0000,944
MUNDOQ_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1ccc(-c2cncc(C(=O)O)c2)cc1,O=C(O)c1ccc(-c2cncc(C(=O)O)c2)cc1,85,12,1,6228,0000,0000,28118
OWIZAW_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1ccc(C#Cc2ccc(C(c3ccc(C#Cc4ccc(C(=O)O)cc4)cc3)(c3ccc(C#Cc4ccc(C(=O)O)cc4)cc3)c3ccc(C#Cc4ccc(C(=O)O)cc4)cc3)cc2)cc1,O=C(O)c1ccc(C#Cc2ccc(C(c3ccc(C#Cc4ccc(C(=O)O)cc4)cc3)(c3ccc(C#Cc4ccc(C(=O)O)cc4)cc3)c3ccc(C#Cc4ccc(C(=O)O)cc4)cc3)cc2)cc1,80,48,2,12051,962,0000,313
OYIVIC_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1ccc(-c2nn[nH]n2)cc1,O=C(O)c1ccc(-c2nn[nH]n2)cc1,90,72,2,6228,702,0000,0000
PEWLUA_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1cc(C(=O)O)cc(-n2cc(-c3cc(-c4cn(-c5cc(C(=O)O)cc(C(=O)O)c5)nn4)cc(-c4cn(-c5cc(C(=O)O)cc(C(=O)O)c5)nn4)c3)nn2)c1,O=C(O)c1cc(C(=O)O)cc(-n2cc(-c3cc(-c4cn(-c5cc(C(=O)O)cc(C(=O)O)c5)nn4)cc(-c4cn(-c5cc(C(=O)O)cc(C(=O)O)c5)nn4)c3)nn2)c1,85,18,2,6228,962,0000,313
PODKUQ_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1cc(C(=O)O)cc(-n2cc(-c3ccc(-c4cc(-c5ccc(-c6cn(-c7cc(C(=O)O)cc(C(=O)O)c7)nn6)cc5)cc(-c5ccc(-c6cn(-c7cc(C(=O)O)cc(C(=O)O)c7)nn6)cc5)c4)cc3)nn2)c1,O=C(O)c1cc(C(=O)O)cc(-n2cc(-c3ccc(-c4cc(-c5ccc(-c6cn(-c7cc(C(=O)O)cc(C(=O)O)c7)nn6)cc5)cc(-c5ccc(-c6cn(-c7cc(C(=O)O)cc(C(=O)O)c7)nn6)cc5)c4)cc3)nn2)c1,80,24,2,6228,0000,0000,28118
QEPZOB_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,Cc1c(-c2ccncc2)c(C)c(-c2c(C)c(-c3ccncc3)c(C)c(-c3ccncc3)c2C)c(C)c1-c1ccncc1,Cc1c(-c2ccncc2)c(C)c(-c2c(C)c(-c3ccncc3)c(C)c(-c3ccncc3)c2C)c(C)c1-c1ccncc1,25,240,2,887,0000,0000,0000
QIWCOQ_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1ccc(-c2cnn(C(C(n3cc(-c4ccc(C(=O)O)cc4)cn3)n3cc(-c4ccc(C(=O)O)cc4)cn3)n3cc(-c4ccc(C(=O)O)cc4)cn3)c2)cc1,O=C(O)c1ccc(-c2cnn(C(C(n3cc(-c4ccc(C(=O)O)cc4)cn3)n3cc(-c4ccc(C(=O)O)cc4)cn3)n3cc(-c4ccc(C(=O)O)cc4)cn3)c2)cc1,100,48,2,6228,962,0000,176
RAZGOQ_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)C1C(C(=O)O)C(C(=O)O)C1C(=O)O,O=C(O)C1C(C(=O)O)C(C(=O)O)C1C(=O)O,25,252,1,962,0000,0000,14797
RONWIA_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,C#N,C#N,5,252,1,962,0000,0000,311
SEYNAM_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)CC(=O)O,O=C(O)CC(=O)O,25,252,2,962,887,0000,0000
TAPKAY_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O,O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O,160,120,2,962,0000,0000,0000
TEJQAC_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,2,O=C(O)c1cccc(C(=O)O)c1,c1ccc(-c2cc(-c3ccc(-n4cncn4)cc3)cc(-c3ccccn3)n2)nc1,160,72,2,962,0000,0000,14798
VETMIS_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1ccc2cc(N(c3ccc(-c4cc(-c5ccc(N(c6ccc7cc(C(=O)O)ccc7c6)c6ccc7cc(C(=O)O)ccc7c6)cc5)cc(-c5ccc(N(c6ccc7cc(C(=O)O)ccc7c6)c6ccc7cc(C(=O)O)ccc7c6)cc5)c4)cc3)c3ccc4cc(C(=O)O)ccc4c3)ccc2c1,O=C(O)c1ccc2cc(N(c3ccc(-c4cc(-c5ccc(N(c6ccc7cc(C(=O)O)ccc7c6)c6ccc7cc(C(=O)O)ccc7c6)cc5)cc(-c5ccc(N(c6ccc7cc(C(=O)O)ccc7c6)c6ccc7cc(C(=O)O)ccc7c6)cc5)c4)cc3)c3ccc4cc(C(=O)O)ccc4c3)ccc2c1,85,72,1,31374,0000,0000,28118
VOFFED_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,2,c1cc(CCCc2ccncc2)ccn1,O=C(O)c1cc(C(=O)O)cc(S(=O)(=O)O)c1,90,24,2,962,0000,0000,0000
DEJCEB_clean,2,2,2,2,0,0,6,6,0,0,10,0,0,0,Zn,1,O=C(O)c1ccncc1C(=O)O,O=C(O)c1ccncc1C(=O)O,85,12,2,702,6228,0000,0000
AJINOY_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,2,O=C(O)C=Cc1ccccc1C(=O)O,O=C(c1ccncc1)N1CCN(C(=O)c2ccncc2)CC1,85,24,2,962,0000,0000,14798
FATQID_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1ccc(-c2cncc(-c3ccc(C(=O)O)cc3)c2)cc1,O=C(O)c1ccc(-c2cncc(-c3ccc(C(=O)O)cc3)c2)cc1,85,24,2,6228,0000,0000,944
NAWXER_clean,2,2,2,2,0,0,6,6,0,0,10,0,0,0,Zn,1,O=C(O)c1ccc(-c2nc(-c3ccc(C(=O)O)cc3)c(-c3ccc(C(=O)O)cc3)nc2-c2ccc(C(=O)O)cc2)cc1,O=C(O)c1ccc(-c2nc(-c3ccc(C(=O)O)cc3)c(-c3ccc(C(=O)O)cc3)nc2-c2ccc(C(=O)O)cc2)cc1,85,24,2,6228,702,0000,944
GAHWIX_clean,2,2,2,2,0,0,6,6,0,0,10,0,0,0,Zn,1,O=C(O)c1ccc(NC(=O)c2cc(C(=O)Nc3ccc(C(=O)O)cc3)cc(C(=O)Nc3ccc(C(=O)O)cc3)c2)cc1,O=C(O)c1ccc(NC(=O)c2cc(C(=O)Nc3ccc(C(=O)O)cc3)cc(C(=O)Nc3ccc(C(=O)O)cc3)c2)cc1,95,24,2,6228,0000,0000,0000
LUPYAX_clean,2,2,2,2,0,0,6,6,0,0,10,0,0,0,Zn,1,O=C(O)c1cc(Cl)c(C(=O)O)cc1Cl,O=C(O)c1cc(Cl)c(C(=O)O)cc1Cl,100,24,2,6228,0000,0000,0000
CAGSAG_clean,2,2,2,2,0,0,6,6,0,0,10,0,0,0,Zn,1,O=C(O)c1ccc2cc(C(=O)O)ccc2c1,O=C(O)c1ccc2cc(C(=O)O)ccc2c1,120,24,2,6228,0000,0000,0000
GUCHUJ_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,150,24,2,962,0000,0000,14798
KIDVIE_clean,2,2,2,2,2,2,6 ,6,6,6,10,10,1,0,La,1,O=C(O)C(=O)O,O=C(O)C(=O)O,160,24,3,962,0000,0000,0000
QAKFIU_clean,2,2,2,2,0,0,6,6,0,0,10,0,0,0,Zn,1,O=C(O)c1cc(C(=O)O)cc(N2C=CC(c3ccncc3)C=C2)c1,O=C(O)c1cc(C(=O)O)cc(N2C=CC(c3ccncc3)C=C2)c1,80,36,2,962,6228,0000,944
FIJCUX01_clean,2,2,2,2,0,0,6,6,0,0,10,0,0,0,Zn,1,O=C(O)c1ccc(C(=O)O)cc1,O=C(O)c1ccc(C(=O)O)cc1,100,40,2,12051,0000,0000,0000
KIJRUS_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1ccc(-c2cc(-c3ccc(C(=O)O)cc3)cc(-c3cc(-c4ccc(C(=O)O)cc4)cc(-c4ccc(C(=O)O)cc4)c3)c2)cc1,O=C(O)c1ccc(-c2cc(-c3ccc(C(=O)O)cc3)cc(-c3cc(-c4ccc(C(=O)O)cc4)cc(-c4ccc(C(=O)O)cc4)c3)c2)cc1,60,48,2,962,6228,0000,313
MOYYEF_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1ccc(-c2cccc(C(=O)O)c2)cc1,O=C(O)c1ccc(-c2cccc(C(=O)O)c2)cc1,60,48,2,962,6228,702,0000
FAGREM_clean,2,2,2,2,0,0,6,6,0,0,10,0,0,0,Zn,1,O=C(O)c1ccc(C(=O)O)c(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)c(C(=O)O)c1,65,48,2,962,12051,702,0000
ONIXOZ_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1cc(C(=O)O)cc(-c2cc(-c3cc(C(=O)O)cc(C(=O)O)c3)cc(-c3cc(C(=O)O)cc(C(=O)O)c3)c2)c1,O=C(O)c1cc(C(=O)O)cc(-c2cc(-c3cc(C(=O)O)cc(C(=O)O)c3)cc(-c3cc(C(=O)O)cc(C(=O)O)c3)c2)c1,65,48,2,6228,0000,0000,28118
LUSYEF_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1cc(C(=O)O)cc(-c2cccc3c(-c4cc(C(=O)O)cc(C(=O)O)c4)cccc23)c1,O=C(O)c1cc(C(=O)O)cc(-c2cccc3c(-c4cc(C(=O)O)cc(C(=O)O)c4)cccc23)c1,70,48,2,962,6228,0000,944
PELRIJ_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1ccc(NC(=O)c2cc(C(=O)Nc3ccc(C(=O)O)cc3)cc(C(=O)Nc3ccc(C(=O)O)cc3)c2)cc1,O=C(O)c1ccc(NC(=O)c2cc(C(=O)Nc3ccc(C(=O)O)cc3)cc(C(=O)Nc3ccc(C(=O)O)cc3)c2)cc1,70,48,2,,0000,0000,944
NUBPIL_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1cc(C(=O)O)cc(-n2ccnc2)c1,O=C(O)c1cc(C(=O)O)cc(-n2ccnc2)c1,80,48,2,962,6228,0000,0000
PEZCII_clean,2,2,2,2,2,2,6 ,6,6,6,10,10,1,0,La,1,O=C(O)c1ccc(-c2cc(-c3ccc(C(=O)O)cc3)cc(-c3ccc(C(=O)O)cc3)c2)cc1,O=C(O)c1ccc(-c2cc(-c3ccc(C(=O)O)cc3)cc(-c3ccc(C(=O)O)cc3)c2)cc1,80,48,3,962,6228,887,0000
IGINIX_clean,2,2,2,2,0,0,6,6,0,0,10,0,0,0,Zn,1,O=C(O)c1ccc(C(=O)O)nc1,O=C(O)c1ccc(C(=O)O)nc1,100,48,2,6228,0000,0000,0000
IZEWAN_clean,2,2,2,2,0,0,6,6,0,0,10,0,0,0,Zn,1,O=C(O)c1cc(-c2cc(-c3ccc(O)c(C(=O)O)c3)cc(-c3ccc(O)c(C(=O)O)c3)c2)ccc1O,O=C(O)c1cc(-c2cc(-c3ccc(O)c(C(=O)O)c3)cc(-c3ccc(O)c(C(=O)O)c3)c2)ccc1O,100,48,2,962,31275,0000,0000
MUVLUM_clean,2,2,2,2,0,0,6,6,0,0,10,0,0,0,Zn,2,O=C(O)c1cc(S(=O)(=O)O)c2cc(C(=O)O)cc(S(=O)(=O)O)c2c1,c1cc(-c2ccncc2)ccn1,100,48,2,6228,0000,0000,28118
MAQRAA_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1ccc(C(=O)O)s1,O=C(O)c1ccc(C(=O)O)s1,110,48,2,31374,0000,0000,0000
MUZHUL_charged,2,2,2,2,0,0,6,6,0,0,10,0,0,0,Zn,1,O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,110,48,2,6228,0000,0000,0000
LUMZEA_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,2,O=C(O)CC(O)C(=O)O,c1nnc[nH]1,120,50,2,962,0000,0000,0000
HOXSIY_clean,2,2,2,2,0,0,6,6,0,0,10,0,0,0,Zn,1,O=C(O)c1ccc(-c2cc(C(=O)O)cc(C(=O)O)c2)cc1,O=C(O)c1ccc(-c2cc(C(=O)O)cc(C(=O)O)c2)cc1,100,60,2,962,31374,0000,0000
DITTEH_clean,2,2,2,2,0,0,6,6,0,0,10,0,0,0,Zn,1,O=C(O)c1ccc(-c2cc(C(=O)O)cc(C(=O)O)c2)cc1,O=C(O)c1ccc(-c2cc(C(=O)O)cc(C(=O)O)c2)cc1,110,60,2,6228,0000,0000,0000
GEGDED_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1cc(OCC(COc2cc(C(=O)O)cc(C(=O)O)c2)(COc2cc(C(=O)O)cc(C(=O)O)c2)COc2cc(C(=O)O)cc(C(=O)O)c2)cc(C(=O)O)c1,O=C(O)c1cc(OCC(COc2cc(C(=O)O)cc(C(=O)O)c2)(COc2cc(C(=O)O)cc(C(=O)O)c2)COc2cc(C(=O)O)cc(C(=O)O)c2)cc(C(=O)O)c1,60,72,2,6228,0000,0000,28118
ODUNEH_clean,2,2,2,2,0,0,6,6,0,0,10,0,0,0,Zn,1,O=C(O)c1ccc(-c2ccc(C(=O)O)cc2)cc1,O=C(O)c1ccc(-c2ccc(C(=O)O)cc2)cc1,60,72,2,6228,702,0000,0000
DICKEH_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1cc(C#Cc2ccc(C#Cc3cc(C(=O)O)cc(C(=O)O)c3)cc2)cc(C(=O)O)c1,O=C(O)c1cc(C#Cc2ccc(C#Cc3cc(C(=O)O)cc(C(=O)O)c3)cc2)cc(C(=O)O)c1,65,72,2,962,6228,0000,28118
HULCOI_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(Nc1cc(NC(=O)Nc2cc(C(=O)O)cc(C(=O)O)c2)cc(NC(=O)Nc2cc(C(=O)O)cc(C(=O)O)c2)c1)Nc1cc(C(=O)O)cc(C(=O)O)c1,O=C(Nc1cc(NC(=O)Nc2cc(C(=O)O)cc(C(=O)O)c2)cc(NC(=O)Nc2cc(C(=O)O)cc(C(=O)O)c2)c1)Nc1cc(C(=O)O)cc(C(=O)O)c1,75,72,2,6228,0000,0000,944
IZEBAR_clean,2,2,2,2,2,2,6,6,6,6,10,10,0,9,Tb,1,O=C(O)c1ccc(C#Cc2cc(C(=O)O)cc(C(=O)O)c2)cc1,O=C(O)c1ccc(C#Cc2cc(C(=O)O)cc(C(=O)O)c2)cc1,80,72,3,6228,702,0000,0000
LADHEF_clean,2,2,2,2,0,0,6,6,0,0,10,0,0,0,Zn,2,c1nnc[nH]1,O=C(O)c1ccc(C(=O)O)c(C(=O)O)c1,80,72,2,962,6228,0000,10340
ODEZAB_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,COc1ccc2c(-c3cc(C(=O)O)cc(C(=O)O)c3)c(OC)ccc2c1-c1cc(C(=O)O)cc(C(=O)O)c1,COc1ccc2c(-c3cc(C(=O)O)cc(C(=O)O)c3)c(OC)ccc2c1-c1cc(C(=O)O)cc(C(=O)O)c1,80,72,2,962,6228,0000,313
PORVID_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,80,72,2,962,0000,0000,944
AVEQID_clean,2,2,2,2,0,0,6,6,0,0,10,0,0,0,Zn,1,Nc1c(-c2cc(C(=O)O)cc(C(=O)O)c2)cc(-c2cc(-c3cc(C(=O)O)cc(C(=O)O)c3)c(N)c(-c3cc(C(=O)O)cc(C(=O)O)c3)c2)cc1-c1cc(C(=O)O)cc(C(=O)O)c1,Nc1c(-c2cc(C(=O)O)cc(C(=O)O)c2)cc(-c2cc(-c3cc(C(=O)O)cc(C(=O)O)c3)c(N)c(-c3cc(C(=O)O)cc(C(=O)O)c3)c2)cc1-c1cc(C(=O)O)cc(C(=O)O)c1,85,72,2,962,31374,0000,0000
MAYKOO_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1ccc(-c2cc(C(=O)O)cc(-c3ccc(C(=O)O)cc3)c2)cc1,O=C(O)c1ccc(-c2cc(C(=O)O)cc(-c3ccc(C(=O)O)cc3)c2)cc1,85,72,2,962,31275,6228,313
FABGOG_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)C=Cc1cnc[nH]1,O=C(O)C=Cc1cnc[nH]1,90,72,2,962,887,0000,0000
HAFSOZ_clean,2,2,2,2,0,0,6,6,0,0,10,0,0,0,Zn,1,O=C(O)c1cc(C(=O)O)c(O)c(C(=O)O)c1,O=C(O)c1cc(C(=O)O)c(O)c(C(=O)O)c1,95,72,2,962,31374,0000,0000
KIDDOS_clean,2,2,2,2,0,0,6,6,0,0,10,0,0,0,Zn,2,C1N2CN3CN1CN(C2)C3,O=C(O)c1ccc(C(=O)O)s1,100,72,2,6228,0000,0000,0000
HOFSUS_clean,2,2,2,2,0,0,6,6,0,0,10,0,0,0,Zn,1,O=C(O)c1nc(-c2ccncc2)[nH]c1C(=O)O,O=C(O)c1nc(-c2ccncc2)[nH]c1C(=O)O,110,72,2,962,0000,0000,0000
LUZJAT_clean,2,2,2,2,0,0,6,6,0,0,10,0,0,0,Zn,1,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,110,72,2,6228,0000,0000,944
GAWJEV_clean,2,2,2,2,0,0,6,6,0,0,10,0,0,0,Zn,1,O=C(O)c1ccc(C(=O)O)c(-c2cc(C(=O)O)ccc2C(=O)O)c1,O=C(O)c1ccc(C(=O)O)c(-c2cc(C(=O)O)ccc2C(=O)O)c1,120,72,2,962,702,0000,0000
KUZZAI_clean,2,2,2,2,0,0,6,6,0,0,10,0,0,0,Zn,2,O=C(O)c1ccc(-c2cc(-c3ccncc3)cc(-c3ccc(C(=O)O)cc3)n2)cc1,Nc1nnn[nH]1,120,72,2,31374,31254,0000,28118
