mof,1s,2s,3s,4s,5s,6s,2p,3p,4p,5p,3d,4d,5d,4f,metal,nlinker,linker1smi,linker2smi,temperature,time,oxidation_state,solvent1,solvent2,solvent3, additive
GIKMOD_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1cc(C(=O)O)cc(S(=O)(=O)O)c1,O=C(O)c1cc(C(=O)O)cc(S(=O)(=O)O)c1,160,96,2,962,0000,0000,0000
KAVGAQ_clean,2,2,2,2,0,0,6,6,0,0,7,0,0,0,Co,2,O=C(O)c1nc[nH]c1C(=O)O,c1cc(-c2ccncc2)ccn1,160,96,2,962,0000,0000,8471
KUQWIE_clean,2,2,2,2,2,0,6,6,6,0,10,10,0,0,Cd,1,O=C(O)C1CCN(CP(=O)(O)O)CC1,O=C(O)C1CCN(CP(=O)(O)O)CC1,160,96,2,962,0000,0000,3301
QATXIU_clean,2,2,2,2,2,0,6,6,6,0,10,10,0,0,Cd,1,O=C(O)c1cccc(C(=O)O)c1-c1c(C(=O)O)cccc1C(=O)O,O=C(O)c1cccc(C(=O)O)c1-c1c(C(=O)O)cccc1C(=O)O,160,96,2,6228,0000,0000,8471
TAHYUZ_clean,2,2,2,2,0,0,6,6,0,0,7,0,0,0,Co,1,O=C(O)c1ccc(-c2cc(C(=O)O)c(C(=O)O)cc2-c2ccc(C(=O)O)cc2)cc1,O=C(O)c1ccc(-c2cc(C(=O)O)c(C(=O)O)cc2-c2ccc(C(=O)O)cc2)cc1,160,96,2,962,0000,0000,0000
HAVZIP_clean,2,2,2,2,0,0,6,6,0,0,7,0,0,0,Co,2,O=C(O)C(=O)O,c1cc(-c2ccncc2)ccn1,160,120,2,962,702,0000,971
TOJVIZ_clean,2,2,2,2,0,0,6,6,0,0,7,0,0,0,Co,1,ON1C=CC(=C2C=CN(O)C=C2)C=C1,ON1C=CC(=C2C=CN(O)C=C2)C=C1,160,120,2,962,0000,0000,14798
TUGFAE_clean,2,2,2,2,0,0,6,6,0,0,8,0,0,0,Ni,1,ON1C=CC(C2=CCN(O)C=C2)C=C1,ON1C=CC(C2=CCN(O)C=C2)C=C1,160,120,2,962,0000,0000,14798
XUHVON_clean,2,2,2,2,0,0,6,6,0,0,10,0,0,0,Zn,2,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,c1cc(-c2nnn[nH]2)ccc1-c1nn[nH]n1,160,120,2,702,0000,0000,0000
QOKCID_clean,2,2,2,2,0,0,6,6,0,0,10,0,0,0,Zn,2,C=C(C)OCc1cccc(COc2cc(C(=O)O)cc(C(=O)O)c2)c1,O=C(O)c1cc(OCc2cccc(COc3cc(C(=O)O)cc(C(=O)O)c3)c2)cc(C(=O)O)c1,160,144,2,962,0000,0000,14797
VUQKAU01_clean,2,2,2,2,0,0,6,6,0,0,5,0,0,0,Mn,1,O=C(O)c1ccc(-c2ccc(C(=O)O)cc2)cc1,O=C(O)c1ccc(-c2ccc(C(=O)O)cc2)cc1,161,480,2,31374,0000,0000,0000
NETYIV_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,c1cc(-c2ccncc2)ccn1,c1cc(-c2ccncc2)ccn1,165,96,1,962,0000,0000,313
SOGWIV_charged,2,2,2,2,2,0,6,6,6,0,10,10,0,0,Cd,1,O=C(O)C(=O)O,O=C(O)C(=O)O,165,168,2,962,702,0000,0000
GISZUF_clean,2,2,2,2,2,0,6,6,6,0,10,10,0,0,Cd,2,c1cc(C2C(c3ccncc3)C(c3ccncc3)C2c2ccncc2)ccn1,O=S(=O)(O)O,170,24,2,962,0000,0000,0000
MITGIF_clean,2,2,2,2,2,0,6,6,6,0,10,1,0,0,Y,1,O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,170,36,3,962,0000,0000,0000
